iid	series	is_control	sra_path	tf
GSM2371453	GSE89431	False	SRR4828901	VDR
GSM2701745	GSE101364	False	SRR5833153,SRR5833154	EZH2
GSM2701746	GSE101364	False	SRR5833155	EZH2
GSM2701744	GSE101363	False	SRR5833151,SRR5833152	H3K9me3
GSM2701742	GSE101362	False	SRR5833145	REST
GSM2701743	GSE101362	False	SRR5833146	REST
GSM2701735	GSE101359	False	SRR5833095,SRR5833096,SRR5833097,SRR5833098	H3K4me1
GSM2701734	GSE101358	False	SRR5833088,SRR5833089	H3K27me3
GSM2701733	GSE101357	False	SRR5833113,SRR5833114,SRR5833115,SRR5833116	H3K4me3
GSM2701731	GSE101356	False	SRR5833078	EZH2phosphoT487
GSM2701732	GSE101356	False	SRR5833079	EZH2phosphoT487
GSM2701702	GSE101355	False	SRR5833133	RING1
GSM2701703	GSE101355	False	SRR5833134	RING1
GSM2701700	GSE101354	False	SRR5833074,SRR5833075	H3K4me3
GSM2701701	GSE101354	False	SRR5833076,SRR5833077	H3K4me3
GSM2701630	GSE101352	False	SRR5833068,SRR5833069,SRR5833070,SRR5833071	H3K36me3
GSM2701629	GSE101351	False	SRR5833064	H3K4me3
GSM2701628	GSE101350	False	SRR5833065,SRR5833066,SRR5833067	H3K9me3
GSM2701568	GSE101348	False	SRR5833058,SRR5833059,SRR5833060,SRR5833061	H3K27me3
GSM2701567	GSE101347	False	SRR5833117,SRR5833118,SRR5833119,SRR5833120	H3K36me3
GSM2701566	GSE101346	False	SRR5833062,SRR5833063	H3K4me3
GSM2701565	GSE101345	False	SRR5833056,SRR5833057	H3K27ac
GSM2701563	GSE101344	False	SRR5833052	WDR5
GSM2701564	GSE101344	False	SRR5833053	WDR5
GSM2701114	GSE101332	False	SRR5833051,SRR5833050	H3K4me1
GSM2701110	GSE101331	False	SRR5833048	ASH2L
GSM2701111	GSE101331	False	nan	ASH2L
GSM2701112	GSE101331	False	SRR5833049	ASH2L
GSM2701113	GSE101331	False	nan	ASH2L
GSM2701099	GSE101326	False	SRR5833036,SRR5833037	Control
GSM2701100	GSE101326	False	SRR5833038,SRR5833039	Control
GSM2701098	GSE101325	False	SRR5833026,SRR5833027,SRR5833028,SRR5833029	H3K27me3
GSM2701097	GSE101324	False	SRR5833018,SRR5833019	H3K27ac
GSM2701039	GSE101315	False	SRR5833020,SRR5833021	Control
GSM2701037	GSE101314	False	SRR5833123,SRR5833124	Control
GSM2701038	GSE101314	False	SRR5833125,SRR5833126	Control
GSM2701035	GSE101313	False	SRR5833121	CHD7
GSM2701036	GSE101313	False	SRR5833122	CHD7
GSM2700946	GSE101306	False	SRR5833109,SRR5833110	H3K4me1
GSM2701820	GSE101387	False	SRR5833196,SRR5833197,SRR5833198,SRR5833199,SRR5833200,SRR5833201	H3K27me3
GSM2701810	GSE101385	False	SRR5833202,SRR5833203,SRR5833204	H3K4me3
GSM2701809	GSE101384	False	SRR5833194,SRR5833195	H3K27ac
GSM2701808	GSE101382	False	SRR5833192,SRR5833193	H3K27me3
GSM2701788	GSE101379	False	SRR5833190	KDM5A
GSM2701789	GSE101379	False	SRR5833191	KDM5A
GSM2701786	GSE101378	False	SRR5833176,SRR5833177	Control
GSM2701787	GSE101378	False	SRR5833178,SRR5833179	Control
GSM2701785	GSE101377	False	SRR5833189	H3K27me3
GSM2701784	GSE101376	False	SRR5833182,SRR5833183,SRR5833184	H3K9me3
GSM2701783	GSE101375	False	SRR5833172,SRR5833173,SRR5833174,SRR5833175	H3K36me3
GSM2701782	GSE101374	False	SRR5833168,SRR5833169,SRR5833170,SRR5833171	H3K36me3
GSM2701781	GSE101373	False	SRR5833162,SRR5833163	Control
GSM2701779	GSE101372	False	SRR5833160	KDM5A
GSM2701780	GSE101372	False	SRR5833161	KDM5A
GSM2701778	GSE101371	False	SRR5833166,SRR5833167	H3K4me3
GSM2701777	GSE101370	False	SRR5833159	H3K4me3
GSM2701775	GSE101369	False	SRR5833164	WDR5
GSM2701776	GSE101369	False	SRR5833165	WDR5
GSM2701748	GSE101367	False	SRR5833147,SRR5833148,SRR5833149,SRR5833150	H3K27ac
